model,step,threshold_rounded_mean,selected_as_threshold,width_mean,width_median,width_q1,width_q3,width_min,width_max,width_stddev,total_mape_start_states,contributing_start_states,contributing_fraction
33,3,13,1,13.064102564102564,13.0,12.0,15.0,9,17,2.0276280419889865,80,78,0.975
33,4,15,1,15.454545454545455,16,14.0,17.0,12,18,1.7473204312581954,80,77,0.9625
33,5,17,1,17.16,18,16.5,18.0,14,18,1.1318421562508911,80,75,0.9375
33,6,18,1,17.833333333333332,18.0,18.0,18.0,15,18,0.5270462766947299,80,72,0.9
33,7,18,0,17.985507246376812,18,18.0,18.0,17,18,0.1195103079889177,80,69,0.8625
33,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,80,64,0.8
33,9,18,0,18.0,18,18.0,18.0,18,18,0.0,80,59,0.7375
33,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,80,56,0.7
34,1,5,1,5.371428571428571,6.0,5.0,6.0,3,6,0.813658906622751,70,70,1.0
34,2,10,1,9.869565217391305,10,9.0,11.0,6,12,1.4537611736783032,70,69,0.9857142857142858
34,3,13,1,13.088235294117647,13.0,12.0,14.0,9,16,1.5693319496416587,70,68,0.9714285714285714
34,4,15,1,15.333333333333334,16.0,15.0,16.0,12,18,1.3743685418725535,70,66,0.9428571428571428
34,5,17,1,16.875,17.0,16.0,18.0,14,18,1.1388041973930374,70,64,0.9142857142857143
34,6,18,1,17.693548387096776,18.0,18.0,18.0,15,18,0.6372498795205939,70,62,0.8857142857142857
34,7,18,0,17.96551724137931,18.0,18.0,18.0,17,18,0.18246560765962694,70,58,0.8285714285714286
34,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,70,52,0.7428571428571429
34,9,18,0,18.0,18,18.0,18.0,18,18,0.0,70,47,0.6714285714285714
34,10,18,0,18.0,18,18.0,18.0,18,18,0.0,70,43,0.6142857142857143
35,1,5,1,4.986486486486487,5.0,4.0,6.0,3,6,0.8620096450711926,74,74,1.0
35,2,9,1,9.027777777777779,9.0,8.0,10.0,6,12,1.4716980198832894,74,72,0.972972972972973
35,3,12,1,12.057971014492754,12,11.0,13.0,9,15,1.4928239747035468,74,69,0.9324324324324325
