model,decision,threshold,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,interval_trigger_fraction,fallback_fraction
40,8,16,4.0,5.0,5.62962962962963,5.75,0.8333333333333334,0.16666666666666666
40,9,18,5.0,6.0,6.7407407407407405,7.0,0.7962962962962963,0.2037037037037037
40,10,19,10.0,10.0,10.0,10.0,0.0,1.0
41,1,3,1.0,1.0,1.0,1.0,1.0,0.0
41,2,6,1.0,2.0,1.826086956521739,2.0,0.9710144927536232,0.028985507246376812
41,3,8,2.0,2.0,2.536231884057971,2.0,0.9420289855072463,0.057971014492753624
41,4,10,2.0,2.0,3.1884057971014492,3.0,0.8985507246376812,0.10144927536231885
41,5,11,3.0,3.0,3.5217391304347827,3.0,0.8985507246376812,0.10144927536231885
41,6,13,3.0,4.0,4.420289855072464,4.0,0.855072463768116,0.14492753623188406
41,7,14,3.0,4.0,4.753623188405797,5.0,0.855072463768116,0.14492753623188406
41,8,16,4.0,5.0,5.884057971014493,7.0,0.782608695652174,0.21739130434782608
41,9,17,5.0,6.0,6.420289855072464,7.0,0.7681159420289855,0.2318840579710145
41,10,19,10.0,10.0,10.0,10.0,0.0,1.0
42,1,3,1.0,1.0,1.0,1.0,1.0,0.0
42,2,6,1.0,2.0,1.6981132075471699,2.0,0.9811320754716981,0.018867924528301886
42,3,9,2.0,2.0,2.6226415094339623,2.0,0.9433962264150944,0.05660377358490566
42,4,10,2.0,2.0,2.8679245283018866,3.0,0.9245283018867925,0.07547169811320754
42,5,12,3.0,3.0,3.509433962264151,3.0,0.9245283018867925,0.07547169811320754
42,6,14,3.0,3.0,4.09433962264151,4.0,0.9056603773584906,0.09433962264150944
42,7,16,4.0,4.0,5.0754716981132075,5.0,0.8867924528301887,0.11320754716981132
42,8,17,4.0,5.0,5.547169811320755,6.0,0.8867924528301887,0.11320754716981132
42,9,18,5.0,6.0,6.264150943396227,7.0,0.8679245283018868,0.1320754716981132
42,10,19,10.0,10.0,10.0,10.0,0.0,1.0
43,1,3,1.0,1.0,1.0,1.0,1.0,0.0
43,2,9,2.0,2.0,2.391891891891892,2.0,0.972972972972973,0.02702702702702703
43,3,10,2.0,2.0,2.7027027027027026,3.0,0.9459459459459459,0.05405405405405406
43,4,12,3.0,3.0,3.22972972972973,3.0,0.9459459459459459,0.05405405405405406
43,5,14,3.0,3.0,4.0,4.0,0.918918918918919,0.08108108108108109
43,6,15,3.0,4.0,4.243243243243243,5.0,0.918918918918919,0.08108108108108109
