x,y,xhat,yhat,belief_id,uncertainty
5,0,4,6,67,4438
4,1,4,6,67,4438
3,2,4,6,67,4438
2,3,4,6,67,4438
1,4,4,6,67,4438
0,5,4,6,67,4438
6,0,4,6,67,4438
5,1,4,6,67,4438
4,2,4,6,67,4438
3,3,4,6,67,4438
2,4,4,6,67,4438
1,5,4,6,67,4438
0,6,4,6,67,4438
7,0,4,6,67,4438
6,1,4,6,67,4438
5,2,4,6,67,4438
4,3,4,6,67,4438
3,4,4,6,67,4438
2,5,4,6,67,4438
1,6,4,6,67,4438
0,7,4,6,67,4438
8,0,4,6,67,4438
7,1,4,6,67,4438
6,2,4,6,67,4438
5,3,4,6,67,4438
4,4,4,6,67,4438
3,5,4,6,67,4438
2,6,4,6,67,4438
1,7,4,6,67,4438
0,8,4,6,67,4438
0,0,4,4,68,3401
1,0,4,4,68,3401
0,1,4,4,68,3401
2,0,4,4,68,3401
1,1,4,4,68,3401
0,2,4,4,68,3401
3,0,4,4,68,3401
2,1,4,4,68,3401
1,2,4,4,68,3401
0,3,4,4,68,3401
4,0,4,4,68,3401
3,1,4,4,68,3401
2,2,4,4,68,3401
1,3,4,4,68,3401
0,4,4,4,68,3401
5,0,4,4,68,3401
4,1,4,4,68,3401
3,2,4,4,68,3401
2,3,4,4,68,3401
1,4,4,4,68,3401
0,5,4,4,68,3401
6,0,4,4,68,3401
5,1,4,4,68,3401
4,2,4,4,68,3401
3,3,4,4,68,3401
2,4,4,4,68,3401
1,5,4,4,68,3401
0,6,4,4,68,3401
8,0,4,4,68,3401
7,0,4,4,68,3401
7,1,4,4,68,3401
6,1,4,4,68,3401
6,2,4,4,68,3401
5,2,4,4,68,3401
5,3,4,4,68,3401
4,3,4,4,68,3401
4,4,4,4,68,3401
3,4,4,4,68,3401
3,5,4,4,68,3401
2,5,4,4,68,3401
2,6,4,4,68,3401
1,6,4,4,68,3401
1,7,4,4,68,3401
9,0,4,6,67,4438
8,1,4,6,67,4438
7,2,4,6,67,4438
6,3,4,6,67,4438
5,4,4,6,67,4438
4,5,4,6,67,4438
3,6,4,6,67,4438
2,7,4,6,67,4438
1,8,4,6,67,4438
0,1,3,3,69,3405
1,1,3,3,69,3405
0,0,3,3,69,3405
0,2,3,3,69,3405
2,1,3,3,69,3405
1,0,3,3,69,3405
1,2,3,3,69,3405
0,3,3,3,69,3405
3,1,3,3,69,3405
2,0,3,3,69,3405
2,2,3,3,69,3405
1,3,3,3,69,3405
0,4,3,3,69,3405
4,1,3,3,69,3405
3,0,3,3,69,3405
3,2,3,3,69,3405
2,3,3,3,69,3405
1,4,3,3,69,3405
0,5,3,3,69,3405
5,1,3,3,69,3405
4,0,3,3,69,3405
4,2,3,3,69,3405
3,3,3,3,69,3405
2,4,3,3,69,3405
1,5,3,3,69,3405
0,6,3,3,69,3405
6,1,3,3,69,3405
5,0,3,3,69,3405
5,2,3,3,69,3405
4,3,3,3,69,3405
3,4,3,3,69,3405
2,5,3,3,69,3405
1,6,3,3,69,3405
0,7,3,3,69,3405
7,1,3,3,69,3405
6,0,3,3,69,3405
6,2,3,3,69,3405
5,3,3,3,69,3405
4,4,3,3,69,3405
3,5,3,3,69,3405
2,6,3,3,69,3405
1,7,3,3,69,3405
0,8,3,3,69,3405
0,9,4,6,67,4438
0,0,4,5,70,3393
1,0,4,5,70,3393
0,1,4,5,70,3393
2,0,4,5,70,3393
1,1,4,5,70,3393
0,2,4,5,70,3393
3,0,4,5,70,3393
2,1,4,5,70,3393
1,2,4,5,70,3393
0,3,4,5,70,3393
4,0,4,5,70,3393
3,1,4,5,70,3393
2,2,4,5,70,3393
1,3,4,5,70,3393
0,4,4,5,70,3393
5,0,4,5,70,3393
4,1,4,5,70,3393
3,2,4,5,70,3393
2,3,4,5,70,3393
1,4,4,5,70,3393
0,5,4,5,70,3393
7,0,4,5,70,3393
6,0,4,5,70,3393
6,1,4,5,70,3393
5,1,4,5,70,3393
5,2,4,5,70,3393
4,2,4,5,70,3393
4,3,4,5,70,3393
3,3,4,5,70,3393
3,4,4,5,70,3393
2,4,4,5,70,3393
2,5,4,5,70,3393
1,5,4,5,70,3393
1,6,4,5,70,3393
9,0,4,5,70,3393
8,0,4,5,70,3393
8,1,4,5,70,3393
7,1,4,5,70,3393
7,2,4,5,70,3393
6,2,4,5,70,3393
6,3,4,5,70,3393
5,3,4,5,70,3393
