h,map,raw_sigma_states,quantized_sigma_states,gvar_max,reduction_absolute,reduction_percent,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,weighted_mean_frobenius_error,weighted_rmse_frobenius_error
0.025,41,492,372,371,120,24.390243902439025,0.013396268189958541,0.013996052724604847,0.023121418641597266,0.011812548162111625,0.012927591572828787
0.025,42,427,325,324,102,23.88758782201405,0.01291075542996738,0.013497836586129441,0.021458098704218883,0.01093105510373938,0.012100831363210173
0.025,43,512,382,381,130,25.390625,0.013361397207688353,0.01398209583382441,0.02272553629730225,0.011465755706030829,0.012609297290482022
0.025,44,486,371,370,115,23.662551440329217,0.013140454319277958,0.013725196108997952,0.021458098704218883,0.011054155435160837,0.01215187703614219
0.025,45,443,341,340,102,23.024830699774267,0.013332685258573668,0.013963927245168243,0.021536248512682064,0.01105222592133641,0.01226921682238109
0.025,46,541,428,427,113,20.88724584103512,0.013825642638211294,0.014495125702498696,0.0231352544831476,0.01226290930171386,0.013477272261090868
0.025,47,617,429,428,188,30.47001620745543,0.013514342605107038,0.01413503928166906,0.022459964381093763,0.012059471996467673,0.013111899223017535
0.025,48,581,454,453,127,21.858864027538726,0.013404410454624592,0.01402749144897685,0.023035190470234904,0.011896107416874397,0.01298977324715347
0.025,49,394,283,282,111,28.17258883248731,0.013495935981172014,0.014156874888158928,0.021536248512682064,0.010980057115860413,0.012212217175313777
0.025,50,483,365,364,118,24.43064182194617,0.013051407643029606,0.013776226258953798,0.023255321971540177,0.011147477041174777,0.012309868397369332
0.025,51,586,451,450,135,23.037542662116042,0.013844594238030944,0.014472032578821032,0.02345399752707415,0.012093103237608212,0.013215009313778229
0.025,52,390,311,310,79,20.256410256410255,0.01322030672759462,0.013824961631142564,0.022312552520946598,0.011280127408861394,0.012476601674879753
0.025,53,568,437,436,131,23.06338028169014,0.013272721766982774,0.013928909671897772,0.023255321971540177,0.011316803133261409,0.012458561766038455
0.025,54,473,342,341,131,27.69556025369979,0.013400203770507452,0.014095450812770128,0.023043437243605833,0.011094103571245146,0.012335028231259496
0.025,55,499,391,390,108,21.64328657314629,0.013657968503575037,0.014324066383381186,0.022652152215628392,0.011779405852698386,0.01296857907714573
0.025,56,372,289,288,83,22.311827956989248,0.013640167020281665,0.014278269450273854,0.023258761789914786,0.011875004565144075,0.01314538339363054
0.025,57,414,314,313,100,24.154589371980677,0.013291053599652143,0.013959852718517674,0.021458098704218883,0.010864206812142977,0.012070975851094163
0.025,58,461,348,347,113,24.5119305856833,0.013324925340956676,0.013933926822788321,0.022868974616278712,0.011519753637105426,0.012691454045157584
