model,threshold,total_starts,actual_update_min,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,actual_update_max,actual_update_stddev,interval_trigger_count,fallback_count,interval_trigger_fraction,fallback_fraction
14,19,74,10,10.0,10.0,10.0,10.0,10,0.0,0,74,0.0,1.0
15,1,63,1,1.0,1.0,1.0,1.0,1,0.0,63,0,1.0,0.0
15,2,63,1,1.0,1.0,1.0,1.0,1,0.0,63,0,1.0,0.0
15,3,63,1,1.0,1.0,1.0,1.0,1,0.0,63,0,1.0,0.0
15,4,63,1,1.0,1.0,1.3174603174603174,1.0,10,1.5818955559747292,61,2,0.9682539682539683,0.031746031746031744
15,5,63,1,1.0,1.0,1.4285714285714286,1.0,10,1.5907898179514348,61,2,0.9682539682539683,0.031746031746031744
15,6,63,1,1.0,2.0,1.8888888888888888,2.0,10,1.5441760643828963,61,2,0.9682539682539683,0.031746031746031744
15,7,63,2,2.0,2.0,2.507936507936508,2.0,10,1.9507671740618686,59,4,0.9365079365079365,0.06349206349206349
15,8,63,2,2.0,2.0,2.5873015873015874,2.0,10,1.9488288761228318,59,4,0.9365079365079365,0.06349206349206349
15,9,63,2,2.0,2.0,2.7142857142857144,3.0,10,1.938978387762127,59,4,0.9365079365079365,0.06349206349206349
15,10,63,2,2.0,2.0,3.2698412698412698,3.0,10,2.4247817719274045,56,7,0.8888888888888888,0.1111111111111111
15,11,63,2,3.0,3.0,3.7142857142857144,3.0,10,2.2637836807628027,56,7,0.8888888888888888,0.1111111111111111
15,12,63,2,3.0,3.0,3.9365079365079363,4.0,10,2.1812550331811913,56,7,0.8888888888888888,0.1111111111111111
15,13,63,3,3.0,4.0,4.587301587301587,4.0,10,2.530041223297514,52,11,0.8253968253968254,0.1746031746031746
15,14,63,3,4.0,4.0,5.031746031746032,5.0,10,2.343300168892554,52,11,0.8253968253968254,0.1746031746031746
15,15,63,4,4.0,4.0,5.412698412698413,5.0,10,2.1795217229454567,52,11,0.8253968253968254,0.1746031746031746
15,16,63,4,5.0,5.0,6.285714285714286,7.0,10,2.1707183466745676,48,15,0.7619047619047619,0.23809523809523808
15,17,63,5,5.0,6.0,6.968253968253968,10.0,10,1.9596586515866026,46,17,0.7301587301587301,0.2698412698412698
15,18,63,5,6.0,7.0,7.666666666666667,10.0,10,1.8257418583505536,42,21,0.6666666666666666,0.3333333333333333
15,19,63,10,10.0,10.0,10.0,10.0,10,0.0,0,63,0.0,1.0
16,1,75,1,1.0,1.0,1.0,1.0,1,0.0,75,0,1.0,0.0
16,2,75,1,1.0,1.0,1.0,1.0,1,0.0,75,0,1.0,0.0
16,3,75,1,1.0,1.0,1.0,1.0,1,0.0,75,0,1.0,0.0
16,4,75,1,1.0,1.0,1.2533333333333334,1.0,10,1.4522932057802773,73,2,0.9733333333333334,0.02666666666666667
16,5,75,1,1.0,1.0,1.3866666666666667,1.0,10,1.4687258272242494,73,2,0.9733333333333334,0.02666666666666667
16,6,75,1,1.0,2.0,1.7333333333333334,2.0,10,1.4544949486180951,73,2,0.9733333333333334,0.02666666666666667
