model,group,actual_update_median,actual_update_q3,mean_fallback_fraction,minimum_fallback_fraction,maximum_fallback_fraction,fallback_tolerance,thresholds,minimum_threshold,maximum_threshold
20,6,3.0,3.0,0.06122448979591836,0.061224489795918366,0.061224489795918366,0.02,"10,11,12",10,12
20,7,3.0,4.0,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.02,13,13,13
20,8,4.0,4.0,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.02,14,14,14
20,9,4.0,5.0,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.02,15,15,15
20,10,5.0,6.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.02,16,16,16
20,11,6.0,7.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.02,17,17,17
20,12,7.0,8.0,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.02,18,18,18
20,13,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
21,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
21,2,1.0,1.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.02,"4,5",4,5
21,3,2.0,2.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.02,6,6,6
21,4,2.0,2.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.02,"7,8,9",7,9
21,5,2.0,3.0,0.09722222222222222,0.09722222222222222,0.09722222222222222,0.02,10,10,10
21,6,3.0,3.0,0.09722222222222222,0.09722222222222222,0.09722222222222222,0.02,11,11,11
21,7,3.0,4.0,0.09722222222222222,0.09722222222222222,0.09722222222222222,0.02,12,12,12
21,8,3.0,4.0,0.125,0.125,0.125,0.02,13,13,13
21,9,4.0,5.0,0.125,0.125,0.125,0.02,14,14,14
21,10,5.0,5.0,0.125,0.125,0.125,0.02,15,15,15
21,11,5.0,6.0,0.18055555555555555,0.18055555555555555,0.18055555555555555,0.02,16,16,16
21,12,6.0,7.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.02,17,17,17
21,13,7.0,10.0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.02,18,18,18
21,14,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
22,1,1.0,1.0,0.0036231884057971015,0.0,0.014492753623188406,0.02,"1,2,3,4",1,4
22,2,1.0,2.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.02,5,5,5
22,3,2.0,2.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.02,6,6,6
22,4,2.0,2.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.02,"7,8",7,8
22,5,2.0,3.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.02,9,9,9
22,6,3.0,3.0,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.02,"10,11",10,11
22,7,3.0,4.0,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.02,12,12,12
22,8,4.0,4.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.02,13,13,13
22,9,4.0,5.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.02,14,14,14
22,10,5.0,6.0,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.02,15,15,15
22,11,6.0,7.0,0.18840579710144928,0.18840579710144928,0.18840579710144928,0.02,16,16,16
22,12,6.0,8.0,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.02,17,17,17
22,13,7.0,10.0,0.2753623188405797,0.2753623188405797,0.2753623188405797,0.02,18,18,18
22,14,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
23,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
